,1000,,,,10000,,,,100000,,
,Runtime (ms),Comparisons,Swaps,,Runtime (ms),Comparisons,Swaps,,Runtime (ms),Comparisons,Swaps
,Unsorted,,,,Unsorted,,,,Unsorted,,
,8621,499500,201099,,634657,49995000,20714161,,61836424,704982704,1656705556
,9163,499500,216270,,637687,49995000,20956595,,61778688,704982704,1661432468
,8727,499500,207061,,635723,49995000,20988538,,61842575,704982704,1659478652
,10020,499500,204611,,649230,49995000,20663721,,61873977,704982704,1662180957
,8805,499500,205469,,629974,49995000,20565016,,61783945,704982704,1651907431
,10175,499500,215769,,635658,49995000,20811077,,62032490,704982704,1660276926
,9291,499500,205445,,642318,49995000,20633457,,62021138,704982704,1662050760
,9027,499500,204160,,616704,49995000,20759350,,61863082,704982704,1662699135
,8939,499500,208392,,622153,49995000,20525411,,62017212,704982704,1659702003
,6971,499500,207824,,632625,49995000,20618843,,61850276,704982704,1651792317
,,,,,,,,,,,
AVG:,8973.9,499500,207610,,633672.9,49995000,20723616.9,,61889980.7,704982704,1658822621
,,,,,,,,,,,
,Sorted,,,,Sorted,,,,Sorted,,
,5560,499500,0,,512469,49995000,0,,49843664,704982704,0
,5743,499500,0,,505554,49995000,0,,49605861,704982704,0
,5623,499500,0,,510473,49995000,0,,50044878,704982704,0
,5969,499500,0,,502274,49995000,0,,50377939,704982704,0
,5784,499500,0,,507996,49995000,0,,50096299,704982704,0
,6173,499500,0,,503522,49995000,0,,51241615,704982704,0
,5484,499500,0,,507306,49995000,0,,50279881,704982704,0
,6108,499500,0,,505257,49995000,0,,50924787,704982704,0
,5843,499500,0,,505031,49995000,0,,50290121,704982704,0
,5947,499500,0,,504382,49995000,0,,50648874,704982704,0
,,,,,,,,,,,
AVG:,5823.4,499500,0,,506426.4,49995000,0,,50335391.9,704982704,0
